mol_id,pubchem_sid,mol_name,smiles,formula_calcd,anionic
C19432,124490104,Hycanthone mesylate,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12.CS(=O)(=O)O,C21H28N2O5S2,['O=S(=O)(O)']
C03409,6238,N-Formimino-L-aspartate; N-Formimidoyl-L-aspartate,N=CN[C@@H](CC(=O)O)C(=O)O,C5H8N2O4,"['[O;H,-]C(=O)']"
C06510,8741,Adenosine-GDP-cobinamide; Adenosylcobinamide-GDP,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)(C5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n6cnc7c(=O)[nH]c(N)nc76)[C@H](O)[C@@H]1O)[C@H]5CC(N)=O)N4[Co+]C[C@H]1O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]1O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,C68H97CoN21O21P2+,['[P](=O)(O)(O)']
C12121,14268,5-Deoxy-5-aminoshikimic acid,N[C@@H]1CC(C(=O)O)=C[C@@H](O)[C@H]1O,C7H11NO4,"['[O;H,-]C(=O)']"
C02855,5793,N-Phospho-D-lombricine,N=C(NCCOP(=O)(O)OC[C@@H](N)C(=O)O)NP(=O)(O)O,C6H16N4O9P2,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
C02823,5771,Cyanocobalamin; Cyanocob(III)alamin; Dicopac; Vitamin B12 complex,C/C1=C2/N([Co+]C#N)C([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,C63H88CoN14O14P,"['[O-]', '[P](=O)(O)(O)']"
C06909,9126,Cidofovir; Cidofovir anhydrous,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,C8H14N3O6P,['[P](=O)(O)(O)']
C21408,328082951,"(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate",O=C(O)[C@@H]1C=CCC2=C1N=C1CC=C[C@@H](C(=O)O)[C@@H]1N2,C14H14N2O4,"['[O;H,-]C(=O)']"
C03237,6107,5-Hydroxypentanoyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCO,C26H44N7O18P3S,['[P](=O)(O)(O)']
C16097,47205407,Neurokinin A; Substance K; Neuromedin L,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(C)O)C(C)C)C(N)=O,C50H80N14O14S,"['[O;H,-]C(=O)']"
C14407,17395407,2-Chloronitrobenzene; 1-Chloro-2-nitrobenzene,O=[N+]([O-])c1ccccc1Cl,C6H4ClNO2,"['[O-]', '[N+](=O)[O-]']"
C19430,124490102,HC Red No. 3; 2-[(4-Amino-2-nitrophenyl)amino]-ethanol,Nc1ccc(NCCO)c([N+](=O)[O-])c1,C8H11N3O3,"['[O-]', '[N+](=O)[O-]']"
C03734,6497,alpha-D-Glutamyl phosphate,N[C@H](CCC(=O)O)C(=O)OP(=O)(O)O,C5H10NO7P,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
C06418,8653,"D-Isoleucine; (2R,3R)-2-Amino-3-methylvaleric acid",CC[C@@H](C)[C@@H](N)C(=O)O,C6H13NO2,"['[O;H,-]C(=O)']"
C16164,47205474,"(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA; (8Z,11Z,14Z,17Z)-Icosa-8,11,14,17-tetraenoyl-CoA",CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C41H66N7O17P3S,['[P](=O)(O)(O)']
C12057,14212,Cyclothialidine,Cc1c(O)cc(O)c2c1C(=O)OC[C@H](NC(=O)[C@@H]1[C@H](O)CCN1C(=O)C(N)CO)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)O)CSC2,C26H35N5O12S,"['[O;H,-]C(=O)']"
C20367,163312105,"4-Nitro-6-oxohepta-2,4-dienedioate",O=C(O)/C=C/C(=C\C(=O)C(=O)O)[N+](=O)[O-],C7H5NO7,"['[O-]', '[O;H,-]C(=O)', '[N+](=O)[O-]']"
C02824,5772,Cyclohexylsulfamate; Cyclohexylsulfamic acid; Cylamic acid; Cyclohexylamide sulfate,O=S(=O)(O)NC1CCCCC1,C6H13NO3S,['O=S(=O)(O)']
C03522,6330,N-Methyl-4-aminobenzoate,CNc1ccc(C(=O)O)cc1,C8H9NO2,"['[O;H,-]C(=O)']"
C18344,124489018,Adenosine 5'-phosphate disodium,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+],C10H12N5Na2O7P,"['[O-]', '[P](=O)(O)(O)']"
C16165,47205475,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoyl-CoA",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C41H64N7O17P3S,['[P](=O)(O)(O)']
C19468,124490140,Nithiazide,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,C6H8N4O3S,"['[O-]', '[N+](=O)[O-]']"
C19461,124490133,Musk ambrette,COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],C12H16N2O5,"['[O-]', '[N+](=O)[O-]']"
C16008,47205319,T-kinin; Ile-Ser-bradykinin,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,C59H89N17O14,"['[O;H,-]C(=O)']"
C12110,14257,"Gabaculine; 3-Amino-2,3-dihydrobenzoic acid",NC1C=CC=C(C(=O)O)C1,C7H9NO2,"['[O;H,-]C(=O)']"
C06504,8735,"Cob(II)yrinate a,c diamide; Cob(II)yrinate diamide; Cob(II)yrinic acid a,c-diamide; Cobyrinate a,c-diamide; Cobyrinic acid a,c-diamide",C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(=O)O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)O)[C@H]5CC(=O)O)N4[Co+])[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)O)C(C)(C)[C@@H]2CCC(=O)O,C45H61CoN6O12+,"['[O;H,-]C(=O)']"
C20358,163312096,Caloxetate trisodium,CCOc1ccc(CC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])cc1.[Ca+2].[Na+].[Na+].[Na+],C23H28CaN3Na3O11,"['[O-]', '[O;H,-]C(=O)']"
C16376,47205684,"(6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosa-6,9,12,15,18,21-hexaenoyl-CoA",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C45H68N7O18P3S,['[P](=O)(O)(O)']
C06625,8851,Malonamoyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(N)=O,C24H39N8O18P3S,['[P](=O)(O)(O)']
C06604,8830,"Parathion; O,O-Diethyl O-p-nitrophenyl phosphorothioate; Thiophos; DNTP",CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,C10H14NO5PS,"['[O-]', '[N+](=O)[O-]']"
C03231,6102,3-Methylglutaconyl-CoA; trans-3-Methylglutaconyl-CoA; (E)-3-Methylglutaconyl-1-CoA,C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)CC(=O)O,C27H42N7O19P3S,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
C14406,17395406,3-Nitrofluoranthene,O=[N+]([O-])c1ccc2c3c(cccc13)-c1ccccc1-2,C16H9NO2,"['[O-]', '[N+](=O)[O-]']"
C03998,6711,7-Methylguanosine 5'-phosphate; N7-Methyl-GMP,C[n+]1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,C11H17N5O8P+,['[P](=O)(O)(O)']
C03557,6353,2-Aminoethylphosphonate; (2-Aminoethyl)phosphonate; Ciliatine,NCCP(=O)(O)O,C2H8NO3P,['[P](=O)(O)(O)']
C19605,124490274,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide; NNAL-O-glucuronide,CN(CCCC(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1cccnc1)N=O,C16H23N3O8,"['[O;H,-]C(=O)']"
C16153,47205463,UDP-L-Ara4N; UDP-4-amino-4-deoxy-L-arabinose; UDP-4-amino-4-deoxy-beta-L-arabinopyranose,N[C@H]1CO[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O,C14H23N3O15P2,['[P](=O)(O)(O)']
C16374,47205682,"(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-2,6,9,12,15,18,21-heptaenoyl-CoA",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C45H68N7O17P3S,['[P](=O)(O)(O)']
C02862,5799,O-Butanoylcarnitine,CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,C11H21NO4,"['[O-]', '[O;H,-]C(=O)']"
C12108,14255,5-Amino-5-deoxy-3-dehydroshikimate; AminoDHS; 5-Deoxy-5-amino-3-dehydroshikimic acid,N[C@@H]1CC(C(=O)O)=CC(=O)[C@H]1O,C7H9NO4,"['[O;H,-]C(=O)']"
C16375,47205683,"(3R,6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosahexaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosa-6,9,12,15,18,21-hexaenoyl-CoA",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C45H70N7O18P3S,['[P](=O)(O)(O)']
C00041,3343,L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine,C[C@H](N)C(=O)O,C3H7NO2,"['[O;H,-]C(=O)']"
C03476,6293,"5,12-Dihydroxanthommatin",NC(CC(=O)c1cccc2c1Nc1c(cc(O)c3nc(C(=O)O)cc(O)c13)O2)C(=O)O,C20H15N3O8,"['[O;H,-]C(=O)']"
C03451,6272,(R)-S-Lactoylglutathione; S-D-Lactoylglutathione,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,C13H21N3O8S,"['[O;H,-]C(=O)']"
C18361,124489035,Mafoprazine mesylate,COc1cc(NC(C)=O)ccc1OCCCN1CCN(c2ccccc2F)CC1.CS(=O)(=O)O,C23H32FN3O6S,['O=S(=O)(O)']
C03460,6280,2-Methylprop-2-enoyl-CoA; Methacrylyl-CoA; Methylacrylyl-CoA,C=C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C25H40N7O17P3S,['[P](=O)(O)(O)']
C06406,8641,Precorrin 3B,C[C@]1(O)c2[nH]c(c(CCC(=O)O)c2CC(=O)O)Cc2[nH]c(c(CC(=O)O)c2CCC(=O)O)/C=C2\N=C(/C=C3\N[C@]14OC(=O)C[C@@]4(C)[C@@H]3CCC(=O)O)[C@@](C)(CC(=O)O)[C@@H]2CCC(=O)O,C43H50N4O17,"['[O;H,-]C(=O)']"
C06417,8652,D-Valine; (R)-2-Amino-3-methylbutyric acid,CC(C)[C@@H](N)C(=O)O,C5H11NO2,"['[O;H,-]C(=O)']"
C03431,6258,S-Inosyl-L-homocysteine,N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,C14H19N5O6S,"['[O;H,-]C(=O)']"
C03401,6231,"L-2,3-Diaminopropanoate; L-2,3-Diaminopropionate; L-2,3-Diaminopropionic acid; L-2,3-Diaminopropanoic acid; 3-Amino-L-alanine; (S)-2,3-Diaminopropanoate; (2S)-2,3-Diaminopropanoic acid",NC[C@H](N)C(=O)O,C3H8N2O2,"['[O;H,-]C(=O)']"
C19428,124490100,Guinea green B; C.I. Acid green 3,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1.[Na+].[Na+],C37H35N2Na2O6S2+,"['[O-]', 'O=S(=O)(O)']"
C03539,6343,S-Ribosyl-L-homocysteine; S-D-Ribosyl-L-homocysteine; Ribose-5-S-homocysteine; S-Ribosylhomocysteine; S-(5-Deoxy-D-ribos-5-yl)-L-homocysteine,N[C@@H](CCSC[C@H]1OC(O)[C@H](O)[C@@H]1O)C(=O)O,C9H17NO6S,"['[O;H,-]C(=O)']"
C16001,47205312,Reactive black 5,Nc1c(/N=N/c2ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc2)c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(/N=N/c3ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc3)c(O)c12.[Na+].[Na+].[Na+].[Na+],C26H21N5Na4O19S6,"['[O-]', '[O-]S(=O)(=O)O', 'O=S(=O)(O)']"
C02802,5752,4-Fluorobenzoyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(F)cc1,C28H39FN7O17P3S,['[P](=O)(O)(O)']
C16337,47205645,3-Hydroxy-OPC4-CoA,CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C35H56N7O19P3S,['[P](=O)(O)(O)']
C12050,14205,Everninomycin; Everninomicin,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@@]4(OC[C@@H](OC(=O)c5c(C)cc(O)cc5O)[C@@H]5OCO[C@H]54)O[C@H]3[C@H]2O)C(OC)[C@@H](O)C1O[C@@H]1O[C@H](C)[C@H](OC)[C@@H](O[C@@H]2O[C@H](C)[C@H]3OC4(C[C@@H](O)[C@H](O[C@H]5C[C@@H](O[C@@H]6C[C@](C)([N+](=O)[O-])[C@@H](OC)[C@H](C)O6)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@]3(C)[C@@H]2O)[C@H]1O,C70H97Cl2NO38,"['[O-]', '[N+](=O)[O-]']"
C14394,17395394,4-Nitrotoluene; 1-Methyl-4-nitrobenzene,Cc1ccc([N+](=O)[O-])cc1,C7H7NO2,"['[O-]', '[N+](=O)[O-]']"
C19948,135626414,"dTDP-3-dimethylamino-3,6-dideoxy-alpha-D-galactopyranose; dTDP-D-ravidosamine",Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](C)[C@H](O)[C@H](N(C)C)[C@H]3O)O2)c(=O)[nH]c1=O,C18H31N3O14P2,['[P](=O)(O)(O)']
C12106,14253,AminoDAHP,N[C@H](CC(=O)C(=O)O)[C@H](O)[C@H](O)COP(=O)(O)O,C7H14NO9P,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
