mol_id,pubchem_sid,mol_name,smiles,formula_calcd,anionic
C20646,172232370,(3S)-2-Oxo-3-phenylbutanoate; (3S)-beta-Methylphenylpyruvate,C[C@H](C(=O)C(=O)O)c1ccccc1,C10H10O3,"['[O;H,-]C(=O)']"
C20327,163312065,2-Oxo-4-phenylbutyric acid; 2-Oxo-4-phenylbutanoic acid; 2-Oxo-4-phenylbutanoate,O=C(O)C(=O)CCc1ccccc1,C10H10O3,"['[O;H,-]C(=O)']"
C10470,12653,Isoferulic acid,COc1ccc(/C=C/C(=O)O)cc1O,C10H10O4,"['[O;H,-]C(=O)']"
C01494,4664,Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,"['[O;H,-]C(=O)']"
C22494,,Phenylsuccinate; Phenylsuccinic acid,O=C(O)CC(C(=O)O)c1ccccc1,C10H10O4,"['[O;H,-]C(=O)']"
C05619,7937,5-Hydroxyferulic acid; 5-Hydroxyferulate,COc1cc(/C=C/C(=O)O)cc(O)c1O,C10H10O5,"['[O;H,-]C(=O)']"
C21450,329728073,4-(2-Hydroxyethoxycarbonyl)benzoate; 4-[(2-Hydroxyethoxy)carbonyl]benzoate; Mono(2-hydroxyethyl) terephthalate; Mono(ethylene terephthalate),O=C(O)c1ccc(C(=O)OCCO)cc1,C10H10O5,"['[O;H,-]C(=O)']"
C00885,4141,Isochorismate; Isochorismic acid,C=C(O[C@H]1C=CC=C(C(=O)O)[C@@H]1O)C(=O)O,C10H10O6,"['[O;H,-]C(=O)']"
C00254,3553,Prephenate; Prephenic acid,O=C(O)C(=O)C[C@]1(C(=O)O)C=C[C@@H](O)C=C1,C10H10O6,"['[O;H,-]C(=O)']"
C00251,3550,"Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate",C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,C10H10O6,"['[O;H,-]C(=O)']"
C13700,586289,Clofibric acid,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,C10H11ClO3,"['[O;H,-]C(=O)']"
C18742,124489416,Mecoprop,Cc1cc(Cl)ccc1OC(C)C(=O)O,C10H11ClO3,"['[O;H,-]C(=O)']"
C18608,124489282,Mecoprop-P; (R)-2-(4-Chloro-o-tolyloxy)propionic acid; (R)-2-(4-Chloro-2-methylphenoxy)propanoate; (R)-Mecoprop,Cc1cc(Cl)ccc1O[C@H](C)C(=O)O,C10H11ClO3,"['[O;H,-]C(=O)']"
C20686,172232406,(S)-2-(4-Chloro-2-methylphenoxy)propanoate; (S)-Mecoprop,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)O,C10H11ClO3,"['[O;H,-]C(=O)']"
C18594,124489268,Bentazone-sodium,CC(C)N1C(=O)c2ccccc2[N-]S1(=O)=O.[Na+],C10H11N2NaO3S,['S(=O)(=O)N(C)C']
C00943,4195,"3',5'-Cyclic IMP; Inosine 3',5'-cyclic monophosphate",O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,C10H11N4O7P,['[P](=O)(O)(O)']
C05598,7922,Phenylacetylglycine,O=C(O)CNC(=O)Cc1ccccc1,C10H11NO3,"['[O;H,-]C(=O)']"
C05596,7920,p-Hydroxyphenylacetylglycine; 4-Hydroxyphenylacetylglycine,O=C(O)CNC(=O)Cc1ccc(O)cc1,C10H11NO4,"['[O;H,-]C(=O)']"
C16591,51090918,3-Carbamoyl-2-phenylpropionic acid,NC(=O)OCC(C(=O)O)c1ccccc1,C10H11NO4,"['[O;H,-]C(=O)']"
C03710,6478,N-Benzyloxycarbonylglycine; N-CBZ-glycine,O=C(O)CNC(=O)OCc1ccccc1,C10H11NO4,"['[O;H,-]C(=O)']"
C04204,6877,"N-(2,3-Dihydroxybenzoyl)-L-serine; 2,3-Dihydroxy-N-benzoyl-L-serine; 2,3-Dihydroxybenzoylserine",O=C(N[C@@H](CO)C(=O)O)c1cccc(O)c1O,C10H11NO6,"['[O;H,-]C(=O)']"
C07771,9973,Tazobactam,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,C10H12N4O5S,"['[O;H,-]C(=O)']"
C21793,355052573,4-Phenylbutyrate; 4-Phenylbutanoate; 4-Phenylbutyric acid,O=C(O)CCCc1ccccc1,C10H12O2,"['[O;H,-]C(=O)']"
C06578,8807,p-Cumate,CC(C)c1ccc(C(=O)O)cc1,C10H12O2,"['[O;H,-]C(=O)']"
C06580,8809,"2,3-Dihydroxy-p-cumate",CC(C)c1ccc(C(=O)O)c(O)c1O,C10H12O4,"['[O;H,-]C(=O)']"
C06581,8810,"2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate",CC(C)C(=O)/C=C\C(C(=O)O)=C(\O)C(=O)O,C10H12O6,"['[O;H,-]C(=O)']"
C01103,4337,Orotidine 5'-phosphate; Orotidylic acid,O=C(O)c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,C10H13N2O11P,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
C03312,6165,Urate D-ribonucleotide,O=c1[nH]c(=O)c2[nH]c(=O)n([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,C10H13N4O10P,['[P](=O)(O)(O)']
C05325,7706,Purine mononucleotide,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O,C10H13N4O7P,['[P](=O)(O)(O)']
C06196,8446,2'-Deoxyinosine 5'-phosphate; dIMP,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,C10H13N4O7P,['[P](=O)(O)(O)']
C04646,7235,6-Thioinosine-5'-monophosphate; 9-(5-Phospho-1-ribofuranosyl)-6-mercaptopurine,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O,C10H13N4O7PS,['[P](=O)(O)(O)']
C00130,3430,IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,C10H13N4O8P,['[P](=O)(O)(O)']
C16618,51090944,6-Thioxanthine 5'-monophosphate,O=c1[nH]c(=S)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,C10H13N4O8PS,['[P](=O)(O)(O)']
C00655,3925,Xanthosine 5'-phosphate; Xanthylic acid; XMP; (9-D-Ribosylxanthine)-5'-phosphate,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,C10H13N4O9P,['[P](=O)(O)(O)']
C10146,12332,Fusaric acid,CCCCc1ccc(C(=O)O)nc1,C10H13NO2,"['[O;H,-]C(=O)']"
C20911,254741374,C20911; Tabtoxin biosynthesis intermediate 1,CC(=O)N[C@@H](CCC(C(=O)O)C(=O)C(=O)O)C(=O)O,C10H13NO8,"['[O;H,-]C(=O)']"
C11107,13289,3-beta-D-Glucopyranuronosyloxy-5-methylisoxazole,Cc1cc(O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)no1,C10H13NO8,"['[O;H,-]C(=O)']"
C01269,4488,5-O-(1-Carboxyvinyl)-3-phosphoshikimate; O5-(1-Carboxyvinyl)-3-phosphoshikimate,C=C(O[C@@H]1CC(C(=O)O)=C[C@@H](OP(=O)(O)O)[C@H]1O)C(=O)O,C10H13O10P,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
C05131,7551,(1-Ribosylimidazole)-4-acetate,O=C(O)Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cn1,C10H14N2O6,"['[O;H,-]C(=O)']"
C21858,,N-(4-Oxoglutaryl)-L-cysteinylglycine; Deaminated glutathione,O=C(O)CNC(=O)[C@H](CS)NC(=O)CCC(=O)C(=O)O,C10H14N2O7S,"['[O;H,-]C(=O)']"
C01344,4549,dIDP; 2'-Deoxyinosine-5'-diphosphate; 2'-Deoxyinosine 5'-diphosphate,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,C10H14N4O10P2,['[P](=O)(O)(O)']
C16616,51090942,6-Mercaptopurine ribonucleoside 5'-diphosphate; 6-Thioinosine-5'-diphosphate,O=P(O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O,C10H14N4O10P2S,['[P](=O)(O)(O)']
C00104,3404,IDP; Inosine 5'-diphosphate; Inosine diphosphate,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H14N4O11P2,['[P](=O)(O)(O)']
C01347,4552,dXDP,O=c1[nH]c(=O)c2ncn([C@H]3C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O3)c2[nH]1,C10H14N4O11P2,['[P](=O)(O)(O)']
C01337,4545,XDP; Xanthosine 5'-pyrophosphate; Xanthosine 5'-diphosphate,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,C10H14N4O12P2,['[P](=O)(O)(O)']
C11924,14085,Perillic acid,C=C(C)C1CC=C(C(=O)O)CC1,C10H14O2,"['[O;H,-]C(=O)']"
C11940,14101,"Myrtenic acid; 6,6-Dimethylbicyclo[3.1.1]hept-2-ene-2-carboxylic acid",CC1(C)C2CC=C(C(=O)O)C1C2,C10H14O2,"['[O;H,-]C(=O)']"
C20271,163312011,"[(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetate",CC1=CC(=O)[C@H](CC(=O)O)C1(C)C,C10H14O3,"['[O;H,-]C(=O)']"
C07159,9368,"2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetate; 2-Oxo-Delta3-4,5,5-trimethylcyclopentenylacetic acid",CC1=CC(=O)C(CC(=O)O)C1(C)C,C10H14O3,"['[O;H,-]C(=O)']"
C20789,254741256,"7-Deoxyloganetate; (1S,4aS,7S,7aR)-1-Hydroxy-7-methyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylate",C[C@H]1CC[C@@H]2C(C(=O)O)=CO[C@@H](O)[C@@H]21,C10H14O4,"['[O;H,-]C(=O)']"
C06579,8808,"cis-2,3-Dihydroxy-2,3-dihydro-p-cumate; cis-5,6-Dihydroxy-4-isopropylcyclohexa-1,3-dienecarboxylate; (2R,3S)-2,3-Dihydroxy-2,3-dihydro-p-cumate",CC(C)C1=CC=C(C(=O)O)[C@@H](O)[C@H]1O,C10H14O4,"['[O;H,-]C(=O)']"
C00364,3655,dTMP; Thymidine 5'-phosphate; Deoxythymidine 5'-phosphate; Thymidylic acid; 5'-Thymidylic acid; Thymidine monophosphate; Deoxythymidylic acid; Thymidylate,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,C10H15N2O8P,['[P](=O)(O)(O)']
C04437,7068,1-(5-Phosphoribosyl)imidazole-4-acetate,O=C(O)Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)cn1,C10H15N2O9P,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
C01345,4550,dITP; 2'-Deoxyinosine-5'-triphosphate; 2'-Deoxyinosine 5'-triphosphate,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,C10H15N4O13P3,['[P](=O)(O)(O)']
C16617,51090943,6-Mercaptopurine ribonucleoside triphosphate; 6-Thioinosine-5'-triphosphate,O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O,C10H15N4O13P3S,['[P](=O)(O)(O)']
C01348,4553,dXTP,O=c1[nH]c(=O)c2ncn([C@H]3C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O3)c2[nH]1,C10H15N4O14P3,['[P](=O)(O)(O)']
C00081,3381,ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H15N4O14P3,['[P](=O)(O)(O)']
C00700,3968,XTP; Xanthosine 5'-triphosphate,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,C10H15N4O15P3,['[P](=O)(O)(O)']
C04734,7305,1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide; 5'-Phosphoribosyl-5-formamido-4-imidazolecarboxamide; 5-Formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide; 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; FAICAR,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O,C10H15N4O9P,['[P](=O)(O)(O)']
C11732,13897,"Diethyl phenyl phosphate; Phosphoric acid, diethyl phenyl ester",CCOP(=O)(OCC)Oc1ccccc1,C10H15O4P,['[P](=O)(O)(O)']
C00363,3654,dTDP; Deoxythymidine 5'-diphosphate,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,C10H16N2O11P2,['[P](=O)(O)(O)']
C00120,3420,Biotin; D-Biotin; Vitamin H; Coenzyme R,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,C10H16N2O3S,"['[O;H,-]C(=O)']"
C20386,163312124,Biotin sulfoxide,O=C(O)CCCC[C@H]1[C@H]2NC(=O)N[C@H]2CS1=O,C10H16N2O4S,"['[O;H,-]C(=O)']"
C20387,163312125,Biotin sulfone,O=C(O)CCCC[C@H]1[C@H]2NC(=O)N[C@H]2CS1(=O)=O,C10H16N2O5S,"['[O;H,-]C(=O)']"
C03614,6400,Inosine 5'-tetraphosphate,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,C10H16N4O17P4,['[P](=O)(O)(O)']
C16461,47205757,"Geranic acid; 3,7-Dimethylocta-2,6-dienoate; Geranate; 3,7-Dimethylocta-2,6-dienoic acid",CC(C)=CCC/C(C)=C/C(=O)O,C10H16O2,"['[O;H,-]C(=O)']"
C09842,12029,Chrysanthemic acid,CC(C)=C[C@@H]1[C@@H](C(=O)O)C1(C)C,C10H16O2,"['[O;H,-]C(=O)']"
C11943,14104,"trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid",C=C(C/C=C(\C)C(=O)O)C(C)C,C10H16O2,"['[O;H,-]C(=O)']"
C11944,14105,"cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid",C=C(C/C=C(/C)C(=O)O)C(C)C,C10H16O2,"['[O;H,-]C(=O)']"
C20324,163312062,"[(1S)-4-Hydroxy-2,2,3-trimethylcyclopent-3-enyl]acetate",CC1C(=O)C[C@@H](CC(=O)O)C1(C)C,C10H16O3,"['[O;H,-]C(=O)']"
C11419,13593,(3S)-3-Isopropenyl-6-oxoheptanoate; (3S)-3-Isopropenyl-6-oxoheptanoic acid,C=C(C)[C@@H](CCC(C)=O)CC(=O)O,C10H16O3,"['[O;H,-]C(=O)']"
C11405,13579,(3R)-3-Isopropenyl-6-oxoheptanoate; (3R)-3-Isopropenyl-6-oxoheptanoic acid,C=C(C)[C@H](CCC(C)=O)CC(=O)O,C10H16O3,"['[O;H,-]C(=O)']"
C00459,3743,dTTP; Deoxythymidine triphosphate; Deoxythymidine 5'-triphosphate; TTP,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,C10H17N2O14P3,['[P](=O)(O)(O)']
C18048,96024268,N-Succinyl-L-citrulline,NC(=O)NCCC[C@H](NC(=O)CCC(=O)O)C(=O)O,C10H17N3O6,"['[O;H,-]C(=O)']"
C08427,10622,Sinigrin; 2-Propenyl glucosinolate,C=CCC(=NOS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C10H17NO9S2,['O=S(=O)(O)']
C01909,5017,Dethiobiotin; Desthiobiotin,CC1NC(=O)NC1CCCCCC(=O)O,C10H18N2O3,"['[O;H,-]C(=O)']"
C18202,96024417,8-Methyl-6-nonenoic acid,CC(C)/C=C/CCCCC(=O)O,C10H18O2,"['[O;H,-]C(=O)']"
C16462,47205758,"Citronellate; Citronellic acid; 3,7-Dimethyl-6-octenoic acid",CC(C)=CCCC(C)CC(=O)O,C10H18O2,"['[O;H,-]C(=O)']"
C13945,854188,2-Oxodecanoic acid; 2-Oxodecanoate,CCCCCCCCC(=O)C(=O)O,C10H18O3,"['[O;H,-]C(=O)']"
C20714,254741183,3-Oxodecanoate,CCCCCCCC(=O)CC(=O)O,C10H18O3,"['[O;H,-]C(=O)']"
C11420,13594,(5S)-6-Hydroxy-5-isopropenyl-2-methylhexanoate,C=C(C)[C@H](CO)CCC(C)C(=O)O,C10H18O3,"['[O;H,-]C(=O)']"
C11406,13580,(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate,C=C(C)[C@@H](CO)CCC(C)C(=O)O,C10H18O3,"['[O;H,-]C(=O)']"
C11417,13591,(3S)-6-Hydroxy-3-isopropenyl-heptanoate; 6-Hydroxy-3-isopropenylheptanoate,C=C(C)[C@@H](CCC(C)O)CC(=O)O,C10H18O3,"['[O;H,-]C(=O)']"
C11404,13578,(3R)-6-Hydroxy-3-isopropenyl-heptanoate,C=C(C)[C@H](CCC(C)O)CC(=O)O,C10H18O3,"['[O;H,-]C(=O)']"
C02217,5283,10-Oxodecanoate; 10-Oxodecanoic acid,O=CCCCCCCCCC(=O)O,C10H18O3,"['[O;H,-]C(=O)']"
C17228,96023636,2-Oxo-9-methylthiononanoic acid; 9-Methylthio-2-nonanoic acid,CSCCCCCCCC(=O)C(=O)O,C10H18O3S,"['[O;H,-]C(=O)']"
C08277,10475,Sebacic acid; Decanedioic acid,O=C(O)CCCCCCCCC(=O)O,C10H18O4,"['[O;H,-]C(=O)']"
C17223,96023631,3-(5'-Methylthio)pentylmalic acid; 3-(5'-Methylthio)pentylmalate,CSCCCCCC(C(=O)O)C(O)C(=O)O,C10H18O5S,"['[O;H,-]C(=O)']"
C17222,96023630,2-(5'-Methylthio)pentylmalic acid; 2-(5'-Methylthio)pentylmalate,CSCCCCCC(O)(CC(=O)O)C(=O)O,C10H18O5S,"['[O;H,-]C(=O)']"
C18689,124489363,Phosphamidon,CCN(CC)C(=O)/C(Cl)=C(\C)OP(=O)(OC)OC,C10H19ClNO5P,['[P](=O)(O)(O)']
C18974,124489646,Cyanthoate,CCOP(=O)(OCC)SCC(=O)NC(C)(C)C#N,C10H19N2O4PS,['[P](=O)(O)(O)']
C17275,96023680,Glucosisymbrin; 1-Methyl-2-hydroxyetyl glucosinolate,CC(CO)C(=NOS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C10H19NO10S2,['O=S(=O)(O)']
C08418,10614,Glucoputranjivin; 1-Methylethyl glucosinolate,CC(C)C(=NOS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C10H19NO9S2,['O=S(=O)(O)']
C01048,4290,Polyprenyl phosphate,CC(C)=CCC/C(C)=C/COP(=O)(O)O,C10H19O4P,['[P](=O)(O)(O)']
C21203,315431318,Geranyl phosphate,CC(C)=CCC/C(C)=C/COP(=O)(O)O,C10H19O4P,['[P](=O)(O)(O)']
C07498,9701,Malaoxon,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,C10H19O7PS,['[P](=O)(O)(O)']
C01571,4728,Decanoic acid; Decanoate; Decylic acid; n-Capric acid,CCCCCCCCCC(=O)O,C10H20O2,"['[O;H,-]C(=O)']"
C18067,96024285,"6-Hydroxy-3,7-dimethyloctanoate; 6-Hydroxy-3,7-dimethyloctanoic acid",CC(CCC(O)C(C)C)CC(=O)O,C10H20O3,"['[O;H,-]C(=O)']"
C02774,5726,10-Hydroxydecanoic acid; 10-Hydroxydecanoate,O=C(O)CCCCCCCCCO,C10H20O3,"['[O;H,-]C(=O)']"
C04093,6785,poly-cis-Polyprenyl diphosphate,CC(C)=CCC/C(C)=C\COP(=O)(O)OP(=O)(O)O,C10H20O7P2,['[P](=O)(O)(O)']
C03190,6069,(+)-Bornyl diphosphate,CC1(C)C2CCC1(C)[C@@H](OP(=O)(O)OP(=O)(O)O)C2,C10H20O7P2,['[P](=O)(O)(O)']
C00341,3634,Geranyl diphosphate,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,C10H20O7P2,['[P](=O)(O)(O)']
C18051,96024271,Chrysanthemyl diphosphate,CC(C)=C[C@@H]1[C@@H](COP(=O)(O)OP(=O)(O)O)C1(C)C,C10H20O7P2,['[P](=O)(O)(O)']
C18052,96024272,Lavandulyl diphosphate,C=C(C)[C@@H](CC=C(C)C)COP(=O)(O)OP(=O)(O)O,C10H20O7P2,['[P](=O)(O)(O)']
C02569,5566,Neryl diphosphate; Neryl pyrophosphate,CC(C)=CCC/C(C)=C\COP(=O)(O)OP(=O)(O)O,C10H20O7P2,['[P](=O)(O)(O)']
C05308,7690,Linalyl diphosphate; LPP,C=CC(C)(CCC=C(C)C)OP(=O)(O)OP(=O)(O)O,C10H20O7P2,['[P](=O)(O)(O)']
C05847,8140,all-trans-Polyprenyl diphosphate; Polyisopentenylpyrophosphate; Polyisopentenyldiphosphate; trans-Polyisopentenyldiphosphate; Polyprenyl diphosphate,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,C10H20O7P2,['[P](=O)(O)(O)']
C20664,172232386,"(-)-Bornyl diphosphate; (2R,4S)-1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl diphosphate",CC1(C)C2CCC1(C)[C@H](OP(=O)(O)OP(=O)(O)O)C2,C10H20O7P2,['[P](=O)(O)(O)']
C18806,124489480,Quinclorac,O=C(O)c1c(Cl)ccc2cc(Cl)cnc12,C10H5Cl2NO2,"['[O;H,-]C(=O)']"
C06414,8649,4-Quinolinecarboxylic acid; Quinoline-4-carboxylate; Quinoline-4-carboxylic acid; Cinchonic acid,O=C(O)c1ccnc2ccccc12,C10H7NO2,"['[O;H,-]C(=O)']"
C06325,8561,2-Quinolinecarboxylic acid; Quinaldinic acid; Quinaldic acid; 2-Quinolinecarboxylate; Quinaldate,O=C(O)c1ccc2ccccc2n1,C10H7NO2,"['[O;H,-]C(=O)']"
